date_t,date_t_plus_h,horizon,spearman_rho
1972-07-31 23:59:59.999999999,1972-08-31 23:59:59.999999999,1,0.8915384615384616
1972-08-31 23:59:59.999999999,1972-10-31 23:59:59.999999999,1,0.9376923076923077
1972-10-31 23:59:59.999999999,1972-11-30 23:59:59.999999999,1,0.9438461538461539
1972-11-30 23:59:59.999999999,1973-01-31 23:59:59.999999999,1,0.943076923076923
1973-01-31 23:59:59.999999999,1973-02-28 23:59:59.999999999,1,0.93
1973-02-28 23:59:59.999999999,1973-04-30 23:59:59.999999999,1,0.89
1973-04-30 23:59:59.999999999,1973-05-31 23:59:59.999999999,1,0.9453846153846153
1973-05-31 23:59:59.999999999,1973-07-31 23:59:59.999999999,1,0.9630769230769232
1973-07-31 23:59:59.999999999,1973-08-31 23:59:59.999999999,1,0.8661538461538462
1973-08-31 23:59:59.999999999,1973-10-31 23:59:59.999999999,1,0.91
1973-10-31 23:59:59.999999999,1973-11-30 23:59:59.999999999,1,0.9584615384615384
1973-11-30 23:59:59.999999999,1974-01-31 23:59:59.999999999,1,0.9569230769230769
1974-01-31 23:59:59.999999999,1974-02-28 23:59:59.999999999,1,0.9161538461538462
1974-02-28 23:59:59.999999999,1974-04-30 23:59:59.999999999,1,0.9138461538461539
1974-04-30 23:59:59.999999999,1974-05-31 23:59:59.999999999,1,0.9269230769230768
1974-05-31 23:59:59.999999999,1974-07-31 23:59:59.999999999,1,0.9315384615384614
1974-07-31 23:59:59.999999999,1974-08-31 23:59:59.999999999,1,0.9592307692307691
1974-08-31 23:59:59.999999999,1974-10-31 23:59:59.999999999,1,0.9338461538461538
1974-10-31 23:59:59.999999999,1974-11-30 23:59:59.999999999,1,0.9569230769230769
1974-11-30 23:59:59.999999999,1975-01-31 23:59:59.999999999,1,0.9484615384615385
1975-01-31 23:59:59.999999999,1975-02-28 23:59:59.999999999,1,0.9715384615384616
1975-02-28 23:59:59.999999999,1975-04-30 23:59:59.999999999,1,0.9838461538461538
1975-04-30 23:59:59.999999999,1975-05-31 23:59:59.999999999,1,0.9292307692307692
1975-05-31 23:59:59.999999999,1975-07-31 23:59:59.999999999,1,0.9638461538461539
1975-07-31 23:59:59.999999999,1975-08-31 23:59:59.999999999,1,0.953076923076923
1975-08-31 23:59:59.999999999,1975-10-31 23:59:59.999999999,1,0.9507692307692308
1975-10-31 23:59:59.999999999,1975-11-30 23:59:59.999999999,1,0.9338461538461538
1975-11-30 23:59:59.999999999,1976-01-31 23:59:59.999999999,1,0.9015384615384615
1976-01-31 23:59:59.999999999,1976-02-29 23:59:59.999999999,1,0.9446153846153846
1976-02-29 23:59:59.999999999,1976-04-30 23:59:59.999999999,1,0.9053846153846155
1976-04-30 23:59:59.999999999,1976-05-31 23:59:59.999999999,1,0.9607692307692307
1976-05-31 23:59:59.999999999,1976-07-31 23:59:59.999999999,1,0.9253846153846155
1976-07-31 23:59:59.999999999,1976-08-31 23:59:59.999999999,1,0.8815384615384615
1976-08-31 23:59:59.999999999,1976-10-31 23:59:59.999999999,1,0.9046153846153847
1976-10-31 23:59:59.999999999,1976-11-30 23:59:59.999999999,1,0.9384615384615383
1976-11-30 23:59:59.999999999,1977-01-31 23:59:59.999999999,1,0.9138461538461539
1977-01-31 23:59:59.999999999,1977-02-28 23:59:59.999999999,1,0.9446153846153846
1977-02-28 23:59:59.999999999,1977-04-30 23:59:59.999999999,1,0.9038461538461539
1977-04-30 23:59:59.999999999,1977-05-31 23:59:59.999999999,1,0.9676923076923077
1977-05-31 23:59:59.999999999,1977-07-31 23:59:59.999999999,1,0.9446153846153846
1977-07-31 23:59:59.999999999,1977-08-31 23:59:59.999999999,1,0.9476923076923076
1977-08-31 23:59:59.999999999,1977-10-31 23:59:59.999999999,1,0.9307692307692308
1977-10-31 23:59:59.999999999,1977-11-30 23:59:59.999999999,1,0.9407692307692307
1977-11-30 23:59:59.999999999,1978-01-31 23:59:59.999999999,1,0.966923076923077
1978-01-31 23:59:59.999999999,1978-02-28 23:59:59.999999999,1,0.953076923076923
1978-02-28 23:59:59.999999999,1978-04-30 23:59:59.999999999,1,0.9407692307692307
1978-04-30 23:59:59.999999999,1978-05-31 23:59:59.999999999,1,0.9523076923076922
1978-05-31 23:59:59.999999999,1978-07-31 23:59:59.999999999,1,0.9384615384615383
1978-07-31 23:59:59.999999999,1978-08-31 23:59:59.999999999,1,0.9538461538461538
1978-08-31 23:59:59.999999999,1978-10-31 23:59:59.999999999,1,0.9461538461538461
1978-10-31 23:59:59.999999999,1978-11-30 23:59:59.999999999,1,0.9192307692307692
1978-11-30 23:59:59.999999999,1979-01-31 23:59:59.999999999,1,0.9261538461538461
1979-01-31 23:59:59.999999999,1979-02-28 23:59:59.999999999,1,0.9253846153846155
1979-02-28 23:59:59.999999999,1979-04-30 23:59:59.999999999,1,0.9507692307692308
1979-04-30 23:59:59.999999999,1979-05-31 23:59:59.999999999,1,0.936923076923077
1979-05-31 23:59:59.999999999,1979-07-31 23:59:59.999999999,1,0.9753846153846154
1979-07-31 23:59:59.999999999,1979-08-31 23:59:59.999999999,1,0.9592307692307691
1979-08-31 23:59:59.999999999,1979-10-31 23:59:59.999999999,1,0.9376923076923077
1979-10-31 23:59:59.999999999,1979-11-30 23:59:59.999999999,1,0.9030769230769231
1979-11-30 23:59:59.999999999,1980-01-31 23:59:59.999999999,1,0.9284615384615384
1980-01-31 23:59:59.999999999,1980-02-29 23:59:59.999999999,1,0.8923076923076924
1980-02-29 23:59:59.999999999,1980-04-30 23:59:59.999999999,1,0.8915384615384616
1980-04-30 23:59:59.999999999,1980-05-31 23:59:59.999999999,1,0.9476923076923076
1980-05-31 23:59:59.999999999,1980-07-31 23:59:59.999999999,1,0.943076923076923
1980-07-31 23:59:59.999999999,1980-08-31 23:59:59.999999999,1,0.94
1980-08-31 23:59:59.999999999,1980-10-31 23:59:59.999999999,1,0.9776923076923076
1980-10-31 23:59:59.999999999,1980-11-30 23:59:59.999999999,1,0.9576923076923078
1980-11-30 23:59:59.999999999,1981-01-31 23:59:59.999999999,1,0.9623076923076924
1981-01-31 23:59:59.999999999,1981-02-28 23:59:59.999999999,1,0.9461538461538461
1981-02-28 23:59:59.999999999,1981-04-30 23:59:59.999999999,1,0.9492307692307692
1981-04-30 23:59:59.999999999,1981-05-31 23:59:59.999999999,1,0.9753846153846154
1981-05-31 23:59:59.999999999,1981-07-31 23:59:59.999999999,1,0.9676923076923077
1981-07-31 23:59:59.999999999,1981-08-31 23:59:59.999999999,1,0.9792307692307692
1981-08-31 23:59:59.999999999,1981-10-31 23:59:59.999999999,1,0.8738461538461537
1981-10-31 23:59:59.999999999,1981-11-30 23:59:59.999999999,1,0.8669230769230768
1981-11-30 23:59:59.999999999,1982-01-31 23:59:59.999999999,1,0.9546153846153845
1982-01-31 23:59:59.999999999,1982-02-28 23:59:59.999999999,1,0.9607692307692307
1982-02-28 23:59:59.999999999,1982-04-30 23:59:59.999999999,1,0.9461538461538461
1982-04-30 23:59:59.999999999,1982-05-31 23:59:59.999999999,1,0.9707692307692307
1982-05-31 23:59:59.999999999,1982-07-31 23:59:59.999999999,1,0.9684615384615385
1982-07-31 23:59:59.999999999,1982-08-31 23:59:59.999999999,1,0.9653846153846154
1982-08-31 23:59:59.999999999,1982-10-31 23:59:59.999999999,1,0.9653846153846154
1982-10-31 23:59:59.999999999,1982-11-30 23:59:59.999999999,1,0.9653846153846154
1982-11-30 23:59:59.999999999,1983-01-31 23:59:59.999999999,1,0.976923076923077
1983-01-31 23:59:59.999999999,1983-02-28 23:59:59.999999999,1,0.9715384615384616
1983-02-28 23:59:59.999999999,1983-04-30 23:59:59.999999999,1,0.9630769230769232
1983-04-30 23:59:59.999999999,1983-05-31 23:59:59.999999999,1,0.9792307692307692
1983-05-31 23:59:59.999999999,1983-07-31 23:59:59.999999999,1,0.9538461538461538
1983-07-31 23:59:59.999999999,1983-08-31 23:59:59.999999999,1,0.7561538461538462
1983-08-31 23:59:59.999999999,1983-10-31 23:59:59.999999999,1,0.713076923076923
1983-10-31 23:59:59.999999999,1983-11-30 23:59:59.999999999,1,0.96
1983-11-30 23:59:59.999999999,1984-01-31 23:59:59.999999999,1,0.6792307692307692
1984-01-31 23:59:59.999999999,1984-02-29 23:59:59.999999999,1,0.7430769230769232
